DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00066 (15.4%) | loss: -20.1429 | dt: 798ms | epoch: 0 | rem: 254s 
step 00067 (15.7%) | loss: -20.0808 | dt: 801ms | epoch: 0 | rem: 253s 
step 00068 (16.0%) | loss: -20.0542 | dt: 814ms | epoch: 0 | rem: 252s 
step 00069 (17.1%) | loss: -19.9827 | dt: 3509ms | epoch: 0 | rem: 249s 
step 00070 (17.4%) | loss: -19.9318 | dt: 829ms | epoch: 0 | rem: 248s 
step 00071 (17.7%) | loss: -19.9265 | dt: 820ms | epoch: 0 | rem: 247s 
step 00072 (18.0%) | loss: -19.8758 | dt: 831ms | epoch: 0 | rem: 246s 
step 00073 (18.2%) | loss: -19.8725 | dt: 826ms | epoch: 0 | rem: 245s 
step 00074 (18.5%) | loss: -19.8891 | dt: 841ms | epoch: 0 | rem: 244s 
step 00075 (18.8%) | loss: -19.8995 | dt: 832ms | epoch: 0 | rem: 244s 
step 00076 (19.1%) | loss: -19.9352 | dt: 819ms | epoch: 0 | rem: 243s 
step 00077 (19.4%) | loss: -19.9717 | dt: 841ms | epoch: 0 | rem: 242s 
step 00078 (19.6%) | loss: -19.9732 | dt: 837ms | epoch: 0 | rem: 241s 
step 00079 (19.9%) | loss: -19.9701 | dt: 814ms | epoch: 0 | rem: 240s 
step 00080 (20.2%) | loss: -19.9516 | dt: 779ms | epoch: 0 | rem: 240s 
step 00081 (20.4%) | loss: -19.8453 | dt: 777ms | epoch: 0 | rem: 239s 
step 00082 (20.7%) | loss: -19.7942 | dt: 773ms | epoch: 0 | rem: 238s 
step 00083 (20.9%) | loss: -19.7455 | dt: 774ms | epoch: 0 | rem: 237s 
step 00084 (21.2%) | loss: -19.6631 | dt: 778ms | epoch: 0 | rem: 236s 
step 00085 (21.5%) | loss: -19.6469 | dt: 780ms | epoch: 0 | rem: 236s 
step 00086 (21.7%) | loss: -19.6238 | dt: 772ms | epoch: 0 | rem: 235s 
step 00087 (22.0%) | loss: -19.5663 | dt: 771ms | epoch: 0 | rem: 234s 
step 00088 (22.2%) | loss: -19.5149 | dt: 783ms | epoch: 0 | rem: 233s 
step 00089 (22.5%) | loss: -19.4975 | dt: 777ms | epoch: 0 | rem: 233s 
step 00090 (22.8%) | loss: -19.5022 | dt: 780ms | epoch: 0 | rem: 232s 
step 00091 (23.0%) | loss: -19.5517 | dt: 778ms | epoch: 0 | rem: 231s 
step 00092 (23.3%) | loss: -19.6095 | dt: 773ms | epoch: 0 | rem: 230s 
step 00093 (23.5%) | loss: -19.6895 | dt: 787ms | epoch: 0 | rem: 229s 
step 00094 (23.8%) | loss: -19.7781 | dt: 781ms | epoch: 0 | rem: 229s 
step 00095 (24.1%) | loss: -19.8297 | dt: 783ms | epoch: 0 | rem: 228s 
step 00096 (24.3%) | loss: -19.9174 | dt: 777ms | epoch: 0 | rem: 227s 
step 00097 (24.6%) | loss: -19.9736 | dt: 765ms | epoch: 0 | rem: 226s 
step 00098 (24.8%) | loss: -20.0573 | dt: 782ms | epoch: 0 | rem: 226s 
step 00099 (25.1%) | loss: -20.1664 | dt: 783ms | epoch: 0 | rem: 225s 
step 00100 (25.4%) | loss: -20.2082 | dt: 784ms | epoch: 0 | rem: 224s 
step 00101 (25.6%) | loss: -20.2677 | dt: 806ms | epoch: 0 | rem: 223s 
step 00102 (25.9%) | loss: -20.2814 | dt: 803ms | epoch: 0 | rem: 222s 
step 00103 (26.2%) | loss: -20.3240 | dt: 802ms | epoch: 0 | rem: 222s 
step 00104 (26.4%) | loss: -20.4020 | dt: 811ms | epoch: 0 | rem: 221s 
step 00105 (26.7%) | loss: -20.4564 | dt: 787ms | epoch: 0 | rem: 220s 
step 00106 (27.0%) | loss: -20.5152 | dt: 804ms | epoch: 0 | rem: 219s 
step 00107 (27.2%) | loss: -20.5586 | dt: 794ms | epoch: 0 | rem: 218s 
step 00108 (27.5%) | loss: -20.6119 | dt: 798ms | epoch: 0 | rem: 218s 
step 00109 (28.7%) | loss: -20.6777 | dt: 3520ms | epoch: 0 | rem: 214s 
step 00110 (28.9%) | loss: -20.7176 | dt: 830ms | epoch: 0 | rem: 213s 
step 00111 (29.2%) | loss: -20.7259 | dt: 818ms | epoch: 0 | rem: 212s 
step 00112 (29.5%) | loss: -20.7293 | dt: 833ms | epoch: 0 | rem: 212s 
step 00113 (29.8%) | loss: -20.7336 | dt: 827ms | epoch: 0 | rem: 211s 
step 00114 (30.0%) | loss: -20.7593 | dt: 837ms | epoch: 0 | rem: 210s 
step 00115 (30.3%) | loss: -20.7680 | dt: 814ms | epoch: 0 | rem: 209s 
step 00116 (30.6%) | loss: -20.7695 | dt: 822ms | epoch: 0 | rem: 208s 
step 00117 (30.9%) | loss: -20.7941 | dt: 830ms | epoch: 0 | rem: 207s 
step 00118 (31.1%) | loss: -20.7969 | dt: 832ms | epoch: 0 | rem: 207s 
step 00119 (31.4%) | loss: -20.8567 | dt: 790ms | epoch: 0 | rem: 206s 
step 00120 (31.7%) | loss: -20.8774 | dt: 784ms | epoch: 0 | rem: 205s 
step 00121 (31.9%) | loss: -20.9165 | dt: 777ms | epoch: 0 | rem: 204s 
step 00122 (32.2%) | loss: -20.9162 | dt: 786ms | epoch: 0 | rem: 203s 
step 00123 (32.4%) | loss: -20.9120 | dt: 782ms | epoch: 0 | rem: 203s 
step 00124 (32.7%) | loss: -20.9355 | dt: 777ms | epoch: 0 | rem: 202s 
step 00125 (33.0%) | loss: -20.9758 | dt: 782ms | epoch: 0 | rem: 201s 
step 00126 (33.2%) | loss: -21.0025 | dt: 784ms | epoch: 0 | rem: 200s 
step 00127 (33.5%) | loss: -20.9859 | dt: 784ms | epoch: 0 | rem: 200s 
step 00128 (33.7%) | loss: -21.0110 | dt: 774ms | epoch: 0 | rem: 199s 
step 00129 (34.0%) | loss: -21.0106 | dt: 776ms | epoch: 0 | rem: 198s 
step 00130 (34.3%) | loss: -20.9919 | dt: 773ms | epoch: 0 | rem: 197s 
step 00131 (34.5%) | loss: -21.0285 | dt: 772ms | epoch: 0 | rem: 196s 
step 00132 (34.8%) | loss: -21.0603 | dt: 763ms | epoch: 0 | rem: 196s 
step 00133 (35.0%) | loss: -21.0761 | dt: 774ms | epoch: 0 | rem: 195s 
step 00134 (35.3%) | loss: -21.0863 | dt: 755ms | epoch: 0 | rem: 194s 
step 00135 (35.5%) | loss: -21.1118 | dt: 755ms | epoch: 0 | rem: 193s 
step 00136 (35.8%) | loss: -21.1171 | dt: 779ms | epoch: 0 | rem: 193s 
step 00137 (36.1%) | loss: -21.1047 | dt: 774ms | epoch: 0 | rem: 192s 
step 00138 (36.3%) | loss: -21.0758 | dt: 768ms | epoch: 0 | rem: 191s 
step 00139 (36.6%) | loss: -21.0128 | dt: 772ms | epoch: 0 | rem: 190s 
step 00140 (36.8%) | loss: -20.9388 | dt: 791ms | epoch: 0 | rem: 190s 
step 00141 (37.1%) | loss: -20.8670 | dt: 786ms | epoch: 0 | rem: 189s 
