DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00066 (15.5%) | loss: 15.5200 | dt: 859ms | epoch: 0 | rem: 253s 
step 00067 (15.9%) | loss: 15.4999 | dt: 1057ms | epoch: 0 | rem: 252s 
step 00068 (16.2%) | loss: 15.4790 | dt: 978ms | epoch: 0 | rem: 251s 
step 00069 (16.5%) | loss: 15.4779 | dt: 874ms | epoch: 0 | rem: 251s 
step 00070 (16.8%) | loss: 15.4948 | dt: 856ms | epoch: 0 | rem: 250s 
step 00071 (17.0%) | loss: 15.4554 | dt: 843ms | epoch: 0 | rem: 249s 
step 00072 (17.3%) | loss: 15.4370 | dt: 841ms | epoch: 0 | rem: 248s 
step 00073 (17.6%) | loss: 15.4666 | dt: 847ms | epoch: 0 | rem: 247s 
step 00074 (17.9%) | loss: 15.4980 | dt: 832ms | epoch: 0 | rem: 246s 
step 00075 (18.2%) | loss: 15.5338 | dt: 824ms | epoch: 0 | rem: 246s 
step 00076 (18.4%) | loss: 15.5489 | dt: 864ms | epoch: 0 | rem: 245s 
step 00077 (18.7%) | loss: 15.5378 | dt: 836ms | epoch: 0 | rem: 244s 
step 00078 (19.0%) | loss: 15.5112 | dt: 883ms | epoch: 0 | rem: 243s 
step 00079 (19.3%) | loss: 15.4928 | dt: 866ms | epoch: 0 | rem: 242s 
step 00080 (19.6%) | loss: 15.4947 | dt: 843ms | epoch: 0 | rem: 241s 
step 00081 (19.9%) | loss: 15.5266 | dt: 876ms | epoch: 0 | rem: 240s 
step 00082 (20.2%) | loss: 15.5456 | dt: 863ms | epoch: 0 | rem: 239s 
step 00083 (20.5%) | loss: 15.5709 | dt: 856ms | epoch: 0 | rem: 239s 
step 00084 (20.7%) | loss: 15.5841 | dt: 846ms | epoch: 0 | rem: 238s 
step 00085 (21.0%) | loss: 15.5969 | dt: 861ms | epoch: 0 | rem: 237s 
step 00086 (21.3%) | loss: 15.5534 | dt: 880ms | epoch: 0 | rem: 236s 
step 00087 (21.6%) | loss: 15.4804 | dt: 848ms | epoch: 0 | rem: 235s 
step 00088 (21.9%) | loss: 15.4398 | dt: 865ms | epoch: 0 | rem: 234s 
step 00089 (22.2%) | loss: 15.3557 | dt: 839ms | epoch: 0 | rem: 233s 
step 00090 (22.5%) | loss: 15.2926 | dt: 856ms | epoch: 0 | rem: 233s 
step 00091 (22.7%) | loss: 15.2395 | dt: 852ms | epoch: 0 | rem: 232s 
step 00092 (23.0%) | loss: 15.2141 | dt: 861ms | epoch: 0 | rem: 231s 
step 00093 (23.3%) | loss: 15.1600 | dt: 890ms | epoch: 0 | rem: 230s 
step 00094 (23.6%) | loss: 15.1258 | dt: 876ms | epoch: 0 | rem: 229s 
step 00095 (23.9%) | loss: 15.0720 | dt: 848ms | epoch: 0 | rem: 228s 
step 00096 (24.2%) | loss: 15.0451 | dt: 867ms | epoch: 0 | rem: 227s 
