DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/autoresearch-siren/config_exp11.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00067 (14.0%) | loss: 1.2093 | dt: 751ms | epoch: 0 | rem: 258s 
step 00068 (14.3%) | loss: 1.2084 | dt: 741ms | epoch: 0 | rem: 257s 
step 00069 (14.5%) | loss: 1.2113 | dt: 759ms | epoch: 0 | rem: 256s 
step 00070 (14.8%) | loss: 1.2000 | dt: 743ms | epoch: 0 | rem: 256s 
step 00071 (15.0%) | loss: 1.1712 | dt: 741ms | epoch: 0 | rem: 255s 
step 00072 (15.3%) | loss: 1.1629 | dt: 739ms | epoch: 0 | rem: 254s 
step 00073 (15.5%) | loss: 1.1556 | dt: 739ms | epoch: 0 | rem: 253s 
step 00074 (15.8%) | loss: 1.1555 | dt: 760ms | epoch: 0 | rem: 253s 
step 00075 (16.0%) | loss: 1.1631 | dt: 755ms | epoch: 0 | rem: 252s 
step 00076 (16.3%) | loss: 1.1356 | dt: 742ms | epoch: 0 | rem: 251s 
step 00077 (16.5%) | loss: 1.0967 | dt: 735ms | epoch: 0 | rem: 250s 
step 00078 (16.8%) | loss: 1.0898 | dt: 783ms | epoch: 0 | rem: 250s 
step 00079 (17.0%) | loss: 1.0712 | dt: 758ms | epoch: 0 | rem: 249s 
step 00080 (17.3%) | loss: 1.0429 | dt: 778ms | epoch: 0 | rem: 248s 
step 00081 (17.6%) | loss: 1.0385 | dt: 783ms | epoch: 0 | rem: 247s 
step 00082 (17.8%) | loss: 1.0460 | dt: 778ms | epoch: 0 | rem: 247s 
step 00083 (18.1%) | loss: 1.0439 | dt: 757ms | epoch: 0 | rem: 246s 
step 00084 (18.3%) | loss: 1.0394 | dt: 782ms | epoch: 0 | rem: 245s 
step 00085 (18.6%) | loss: 1.0417 | dt: 761ms | epoch: 0 | rem: 244s 
step 00086 (18.8%) | loss: 1.0403 | dt: 798ms | epoch: 0 | rem: 243s 
step 00087 (19.1%) | loss: 1.0285 | dt: 764ms | epoch: 0 | rem: 243s 
step 00088 (19.4%) | loss: 1.0283 | dt: 766ms | epoch: 0 | rem: 242s 
step 00089 (19.6%) | loss: 1.0119 | dt: 774ms | epoch: 0 | rem: 241s 
step 00090 (19.9%) | loss: 1.0116 | dt: 790ms | epoch: 0 | rem: 240s 
step 00091 (20.1%) | loss: 0.9948 | dt: 787ms | epoch: 0 | rem: 240s 
step 00092 (20.4%) | loss: 0.9783 | dt: 767ms | epoch: 0 | rem: 239s 
step 00093 (20.7%) | loss: 0.9654 | dt: 762ms | epoch: 0 | rem: 238s 
step 00094 (20.9%) | loss: 0.9622 | dt: 750ms | epoch: 0 | rem: 237s 
step 00095 (21.1%) | loss: 0.9676 | dt: 743ms | epoch: 0 | rem: 237s 
step 00096 (21.4%) | loss: 0.9562 | dt: 739ms | epoch: 0 | rem: 236s 
step 00097 (21.6%) | loss: 0.9534 | dt: 745ms | epoch: 0 | rem: 235s 
step 00098 (21.9%) | loss: 0.9652 | dt: 738ms | epoch: 0 | rem: 234s 
step 00099 (22.1%) | loss: 0.9733 | dt: 723ms | epoch: 0 | rem: 234s 
step 00100 (22.4%) | loss: 0.9787 | dt: 733ms | epoch: 0 | rem: 233s 
step 00101 (22.6%) | loss: 0.9725 | dt: 735ms | epoch: 0 | rem: 232s 
step 00102 (22.9%) | loss: 0.9522 | dt: 750ms | epoch: 0 | rem: 231s 
step 00103 (23.1%) | loss: 0.9531 | dt: 745ms | epoch: 0 | rem: 231s 
step 00104 (23.4%) | loss: 0.9429 | dt: 738ms | epoch: 0 | rem: 230s 
step 00105 (23.6%) | loss: 0.9377 | dt: 734ms | epoch: 0 | rem: 229s 
step 00106 (23.9%) | loss: 0.9266 | dt: 758ms | epoch: 0 | rem: 228s 
step 00107 (24.1%) | loss: 0.9076 | dt: 739ms | epoch: 0 | rem: 228s 
step 00108 (24.4%) | loss: 0.8975 | dt: 754ms | epoch: 0 | rem: 227s 
step 00109 (24.6%) | loss: 0.9133 | dt: 745ms | epoch: 0 | rem: 226s 
step 00110 (24.9%) | loss: 0.8920 | dt: 745ms | epoch: 0 | rem: 225s 
step 00111 (25.1%) | loss: 0.8626 | dt: 746ms | epoch: 0 | rem: 225s 
step 00112 (25.4%) | loss: 0.8384 | dt: 750ms | epoch: 0 | rem: 224s 
step 00113 (25.6%) | loss: 0.8314 | dt: 752ms | epoch: 0 | rem: 223s 
step 00114 (25.9%) | loss: 0.8118 | dt: 755ms | epoch: 0 | rem: 222s 
step 00115 (26.1%) | loss: 0.7881 | dt: 738ms | epoch: 0 | rem: 222s 
step 00116 (26.4%) | loss: 0.7846 | dt: 753ms | epoch: 0 | rem: 221s 
step 00117 (26.6%) | loss: 0.7830 | dt: 745ms | epoch: 0 | rem: 220s 
step 00118 (26.9%) | loss: 0.7814 | dt: 750ms | epoch: 0 | rem: 219s 
step 00119 (27.1%) | loss: 0.7684 | dt: 761ms | epoch: 0 | rem: 219s 
step 00120 (27.4%) | loss: 0.7640 | dt: 748ms | epoch: 0 | rem: 218s 
step 00121 (27.6%) | loss: 0.7549 | dt: 738ms | epoch: 0 | rem: 217s 
step 00122 (27.9%) | loss: 0.7618 | dt: 763ms | epoch: 0 | rem: 216s 
step 00123 (28.1%) | loss: 0.7782 | dt: 748ms | epoch: 0 | rem: 216s 
step 00124 (28.4%) | loss: 0.7737 | dt: 750ms | epoch: 0 | rem: 215s 
step 00125 (28.6%) | loss: 0.7632 | dt: 764ms | epoch: 0 | rem: 214s 
step 00126 (28.9%) | loss: 0.7550 | dt: 744ms | epoch: 0 | rem: 213s 
step 00127 (29.1%) | loss: 0.7514 | dt: 749ms | epoch: 0 | rem: 213s 
step 00128 (29.4%) | loss: 0.7331 | dt: 748ms | epoch: 0 | rem: 212s 
step 00129 (29.6%) | loss: 0.7326 | dt: 749ms | epoch: 0 | rem: 211s 
step 00130 (29.9%) | loss: 0.7309 | dt: 751ms | epoch: 0 | rem: 210s 
step 00131 (30.1%) | loss: 0.7247 | dt: 748ms | epoch: 0 | rem: 210s 
step 00132 (30.4%) | loss: 0.7060 | dt: 748ms | epoch: 0 | rem: 209s 
step 00133 (30.6%) | loss: 0.6906 | dt: 748ms | epoch: 0 | rem: 208s 
step 00134 (30.9%) | loss: 0.6890 | dt: 752ms | epoch: 0 | rem: 207s 
