Improved VQ-VAE with branches (autoresearch)
  sem_dim=128, pro_dim=64, spk_dim=256
  num_codes=1024, entropy_weight=1.0
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00048 (1.0%) | loss: 25.1041 | recon: 0.1321 | vq: 0.8099 | H: 3.37 | dt: 86ms | rem: 297s 
step 00049 (1.1%) | loss: 25.4228 | recon: 0.1280 | vq: 0.8178 | H: 3.34 | dt: 89ms | rem: 297s 
step 00050 (1.1%) | loss: 25.7581 | recon: 0.1244 | vq: 0.8252 | H: 3.24 | dt: 85ms | rem: 297s 
step 00051 (1.1%) | loss: 26.0787 | recon: 0.1211 | vq: 0.8339 | H: 3.21 | dt: 86ms | rem: 297s 
step 00052 (1.1%) | loss: 26.4037 | recon: 0.1177 | vq: 0.8395 | H: 3.18 | dt: 80ms | rem: 297s 
step 00053 (1.2%) | loss: 26.7139 | recon: 0.1140 | vq: 0.8486 | H: 3.14 | dt: 81ms | rem: 296s 
step 00054 (1.2%) | loss: 26.9775 | recon: 0.1105 | vq: 0.8541 | H: 3.14 | dt: 81ms | rem: 296s 
step 00055 (1.2%) | loss: 27.2585 | recon: 0.1070 | vq: 0.8634 | H: 3.08 | dt: 82ms | rem: 296s 
step 00056 (1.3%) | loss: 27.5231 | recon: 0.1037 | vq: 0.8671 | H: 3.07 | dt: 82ms | rem: 296s 
step 00057 (1.3%) | loss: 27.7600 | recon: 0.1003 | vq: 0.8759 | H: 3.05 | dt: 83ms | rem: 296s 
step 00058 (1.3%) | loss: 28.0290 | recon: 0.0978 | vq: 0.8774 | H: 2.99 | dt: 86ms | rem: 296s 
step 00059 (1.3%) | loss: 28.2700 | recon: 0.0943 | vq: 0.8813 | H: 2.97 | dt: 86ms | rem: 296s 
step 00060 (1.4%) | loss: 28.4988 | recon: 0.0914 | vq: 0.8828 | H: 2.97 | dt: 86ms | rem: 296s 
step 00061 (1.4%) | loss: 28.6860 | recon: 0.0886 | vq: 0.8848 | H: 2.99 | dt: 86ms | rem: 296s 
step 00062 (1.4%) | loss: 28.8927 | recon: 0.0858 | vq: 0.8857 | H: 2.94 | dt: 85ms | rem: 296s 
step 00063 (1.4%) | loss: 29.1090 | recon: 0.0831 | vq: 0.8809 | H: 2.90 | dt: 80ms | rem: 296s 
step 00064 (1.5%) | loss: 29.3012 | recon: 0.0809 | vq: 0.8753 | H: 2.92 | dt: 84ms | rem: 296s 
step 00065 (1.5%) | loss: 29.4861 | recon: 0.0791 | vq: 0.8704 | H: 2.93 | dt: 79ms | rem: 295s 
step 00066 (1.5%) | loss: 29.6695 | recon: 0.0766 | vq: 0.8598 | H: 2.92 | dt: 80ms | rem: 295s 
step 00067 (1.6%) | loss: 29.8710 | recon: 0.0748 | vq: 0.8494 | H: 2.90 | dt: 82ms | rem: 295s 
step 00068 (1.6%) | loss: 30.0631 | recon: 0.0730 | vq: 0.8393 | H: 2.91 | dt: 85ms | rem: 295s 
step 00069 (1.6%) | loss: 30.2253 | recon: 0.0717 | vq: 0.8305 | H: 2.91 | dt: 85ms | rem: 295s 
step 00070 (1.6%) | loss: 30.3748 | recon: 0.0699 | vq: 0.8141 | H: 2.94 | dt: 82ms | rem: 295s 
step 00071 (1.7%) | loss: 30.5239 | recon: 0.0683 | vq: 0.7984 | H: 2.93 | dt: 85ms | rem: 295s 
step 00072 (1.7%) | loss: 30.6465 | recon: 0.0672 | vq: 0.7853 | H: 2.95 | dt: 87ms | rem: 295s 
step 00073 (1.7%) | loss: 30.7732 | recon: 0.0659 | vq: 0.7711 | H: 2.95 | dt: 81ms | rem: 295s 
step 00074 (1.8%) | loss: 30.8912 | recon: 0.0642 | vq: 0.7479 | H: 2.94 | dt: 85ms | rem: 295s 
step 00075 (1.8%) | loss: 30.9951 | recon: 0.0639 | vq: 0.7410 | H: 2.94 | dt: 79ms | rem: 295s 
step 00076 (1.8%) | loss: 31.1129 | recon: 0.0634 | vq: 0.7325 | H: 2.92 | dt: 82ms | rem: 295s 
step 00077 (1.8%) | loss: 31.2195 | recon: 0.0614 | vq: 0.7068 | H: 2.92 | dt: 78ms | rem: 294s 
step 00078 (1.9%) | loss: 31.3005 | recon: 0.0611 | vq: 0.6999 | H: 2.97 | dt: 79ms | rem: 294s 
step 00079 (1.9%) | loss: 31.3650 | recon: 0.0596 | vq: 0.6776 | H: 3.02 | dt: 84ms | rem: 294s 
step 00080 (1.9%) | loss: 31.3920 | recon: 0.0594 | vq: 0.6711 | H: 3.13 | dt: 81ms | rem: 294s 
step 00081 (1.9%) | loss: 31.4181 | recon: 0.0588 | vq: 0.6622 | H: 3.17 | dt: 83ms | rem: 294s 
step 00082 (2.0%) | loss: 31.4019 | recon: 0.0573 | vq: 0.6413 | H: 3.30 | dt: 87ms | rem: 294s 
step 00083 (2.0%) | loss: 31.4002 | recon: 0.0573 | vq: 0.6372 | H: 3.28 | dt: 82ms | rem: 294s 
step 00084 (2.0%) | loss: 31.3632 | recon: 0.0563 | vq: 0.6188 | H: 3.38 | dt: 85ms | rem: 294s 
step 00085 (2.1%) | loss: 31.3579 | recon: 0.0566 | vq: 0.6234 | H: 3.34 | dt: 85ms | rem: 294s 
step 00086 (2.1%) | loss: 31.3383 | recon: 0.0549 | vq: 0.5988 | H: 3.41 | dt: 82ms | rem: 294s 
step 00087 (2.1%) | loss: 31.3223 | recon: 0.0545 | vq: 0.5964 | H: 3.40 | dt: 84ms | rem: 294s 
step 00088 (2.1%) | loss: 31.3362 | recon: 0.0546 | vq: 0.5986 | H: 3.37 | dt: 81ms | rem: 294s 
step 00089 (2.2%) | loss: 31.3484 | recon: 0.0537 | vq: 0.5843 | H: 3.38 | dt: 82ms | rem: 294s 
step 00090 (2.2%) | loss: 31.3522 | recon: 0.0533 | vq: 0.5847 | H: 3.38 | dt: 81ms | rem: 293s 
step 00091 (2.2%) | loss: 31.3825 | recon: 0.0533 | vq: 0.5876 | H: 3.36 | dt: 80ms | rem: 293s 
step 00092 (2.2%) | loss: 31.4161 | recon: 0.0526 | vq: 0.5830 | H: 3.34 | dt: 84ms | rem: 293s 
step 00093 (2.3%) | loss: 31.4662 | recon: 0.0527 | vq: 0.5889 | H: 3.31 | dt: 85ms | rem: 293s 
step 00094 (2.3%) | loss: 31.5447 | recon: 0.0521 | vq: 0.5898 | H: 3.27 | dt: 85ms | rem: 293s 
step 00095 (2.3%) | loss: 31.6054 | recon: 0.0519 | vq: 0.5966 | H: 3.27 | dt: 84ms | rem: 293s 
step 00096 (2.4%) | loss: 31.6748 | recon: 0.0518 | vq: 0.6018 | H: 3.22 | dt: 83ms | rem: 293s 
step 00097 (2.4%) | loss: 31.7409 | recon: 0.0512 | vq: 0.5992 | H: 3.23 | dt: 85ms | rem: 293s 
step 00098 (2.4%) | loss: 31.8053 | recon: 0.0505 | vq: 0.5980 | H: 3.24 | dt: 81ms | rem: 293s 
step 00099 (2.4%) | loss: 31.8701 | recon: 0.0502 | vq: 0.6013 | H: 3.21 | dt: 83ms | rem: 293s 
step 00100 (2.5%) | loss: 31.9559 | recon: 0.0510 | vq: 0.6380 | H: 3.18 | dt: 87ms | rem: 293s 
step 00101 (2.5%) | loss: 32.0119 | recon: 0.0502 | vq: 0.6284 | H: 3.20 | dt: 82ms | rem: 293s 
step 00102 (2.5%) | loss: 32.0925 | recon: 0.0504 | vq: 0.6519 | H: 3.18 | dt: 79ms | rem: 292s 
step 00103 (2.6%) | loss: 32.1507 | recon: 0.0497 | vq: 0.6489 | H: 3.18 | dt: 88ms | rem: 292s 
step 00104 (2.6%) | loss: 32.1920 | recon: 0.0493 | vq: 0.6471 | H: 3.21 | dt: 85ms | rem: 292s 
step 00105 (2.6%) | loss: 32.2017 | recon: 0.0487 | vq: 0.6425 | H: 3.25 | dt: 85ms | rem: 292s 
step 00106 (2.6%) | loss: 32.2066 | recon: 0.0487 | vq: 0.6555 | H: 3.29 | dt: 88ms | rem: 292s 
step 00107 (2.7%) | loss: 32.2289 | recon: 0.0484 | vq: 0.6696 | H: 3.27 | dt: 93ms | rem: 292s 
step 00108 (2.7%) | loss: 32.2418 | recon: 0.0479 | vq: 0.6670 | H: 3.28 | dt: 90ms | rem: 292s 
step 00109 (2.7%) | loss: 32.2437 | recon: 0.0477 | vq: 0.6649 | H: 3.29 | dt: 86ms | rem: 292s 
step 00110 (2.8%) | loss: 32.2629 | recon: 0.0472 | vq: 0.6725 | H: 3.26 | dt: 83ms | rem: 292s 
step 00111 (2.8%) | loss: 32.2763 | recon: 0.0465 | vq: 0.6693 | H: 3.25 | dt: 86ms | rem: 292s 
step 00112 (2.8%) | loss: 32.2976 | recon: 0.0464 | vq: 0.6918 | H: 3.25 | dt: 82ms | rem: 292s 
step 00113 (2.8%) | loss: 32.3046 | recon: 0.0460 | vq: 0.6788 | H: 3.27 | dt: 84ms | rem: 291s 
step 00114 (2.9%) | loss: 32.3181 | recon: 0.0453 | vq: 0.6770 | H: 3.27 | dt: 84ms | rem: 291s 
step 00115 (2.9%) | loss: 32.3302 | recon: 0.0450 | vq: 0.6945 | H: 3.28 | dt: 85ms | rem: 291s 
step 00116 (2.9%) | loss: 32.3366 | recon: 0.0450 | vq: 0.6942 | H: 3.29 | dt: 86ms | rem: 291s 
step 00117 (3.0%) | loss: 32.3368 | recon: 0.0441 | vq: 0.6850 | H: 3.30 | dt: 82ms | rem: 291s 
step 00118 (3.0%) | loss: 32.3518 | recon: 0.0442 | vq: 0.6961 | H: 3.31 | dt: 89ms | rem: 291s 
step 00119 (3.0%) | loss: 32.3718 | recon: 0.0432 | vq: 0.6984 | H: 3.27 | dt: 81ms | rem: 291s 
step 00120 (3.0%) | loss: 32.3827 | recon: 0.0429 | vq: 0.6867 | H: 3.28 | dt: 78ms | rem: 291s 
step 00121 (3.1%) | loss: 32.3822 | recon: 0.0424 | vq: 0.6841 | H: 3.30 | dt: 80ms | rem: 291s 
step 00122 (3.1%) | loss: 32.4043 | recon: 0.0422 | vq: 0.6983 | H: 3.29 | dt: 83ms | rem: 291s 
step 00123 (3.1%) | loss: 32.4368 | recon: 0.0416 | vq: 0.6983 | H: 3.26 | dt: 83ms | rem: 291s 
step 00124 (3.1%) | loss: 32.4391 | recon: 0.0410 | vq: 0.6747 | H: 3.30 | dt: 81ms | rem: 291s 
step 00125 (3.2%) | loss: 32.4380 | recon: 0.0406 | vq: 0.6760 | H: 3.31 | dt: 84ms | rem: 290s 
step 00126 (3.2%) | loss: 32.4545 | recon: 0.0400 | vq: 0.6858 | H: 3.28 | dt: 85ms | rem: 290s 
step 00127 (3.2%) | loss: 32.4625 | recon: 0.0394 | vq: 0.6731 | H: 3.27 | dt: 84ms | rem: 290s 
step 00128 (3.3%) | loss: 32.4745 | recon: 0.0390 | vq: 0.6747 | H: 3.28 | dt: 84ms | rem: 290s 
step 00129 (3.3%) | loss: 32.4793 | recon: 0.0386 | vq: 0.6602 | H: 3.28 | dt: 86ms | rem: 290s 
step 00130 (3.3%) | loss: 32.4817 | recon: 0.0380 | vq: 0.6644 | H: 3.29 | dt: 81ms | rem: 290s 
step 00131 (3.3%) | loss: 32.4870 | recon: 0.0372 | vq: 0.6604 | H: 3.27 | dt: 79ms | rem: 290s 
step 00132 (3.4%) | loss: 32.4837 | recon: 0.0370 | vq: 0.6507 | H: 3.28 | dt: 81ms | rem: 290s 
step 00133 (3.4%) | loss: 32.4823 | recon: 0.0366 | vq: 0.6436 | H: 3.27 | dt: 82ms | rem: 290s 
step 00134 (3.4%) | loss: 32.4783 | recon: 0.0359 | vq: 0.6427 | H: 3.27 | dt: 83ms | rem: 290s 
step 00135 (3.5%) | loss: 32.4803 | recon: 0.0353 | vq: 0.6391 | H: 3.27 | dt: 89ms | rem: 290s 
step 00136 (3.5%) | loss: 32.4763 | recon: 0.0350 | vq: 0.6370 | H: 3.28 | dt: 83ms | rem: 290s 
step 00137 (3.5%) | loss: 32.4939 | recon: 0.0345 | vq: 0.6523 | H: 3.27 | dt: 87ms | rem: 289s 
step 00138 (3.5%) | loss: 32.4829 | recon: 0.0337 | vq: 0.6332 | H: 3.29 | dt: 84ms | rem: 289s 
