DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00066 (15.6%) | loss: 16.0528 | dt: 875ms | epoch: 0 | rem: 253s 
step 00067 (15.9%) | loss: 16.1033 | dt: 837ms | epoch: 0 | rem: 252s 
step 00068 (16.1%) | loss: 16.1046 | dt: 833ms | epoch: 0 | rem: 252s 
step 00069 (16.4%) | loss: 16.0832 | dt: 830ms | epoch: 0 | rem: 251s 
step 00070 (16.7%) | loss: 16.0145 | dt: 850ms | epoch: 0 | rem: 250s 
step 00071 (17.0%) | loss: 15.9763 | dt: 865ms | epoch: 0 | rem: 249s 
step 00072 (17.3%) | loss: 15.8938 | dt: 843ms | epoch: 0 | rem: 248s 
step 00073 (17.5%) | loss: 15.8110 | dt: 822ms | epoch: 0 | rem: 247s 
step 00074 (17.8%) | loss: 15.7334 | dt: 841ms | epoch: 0 | rem: 247s 
step 00075 (18.1%) | loss: 15.7190 | dt: 844ms | epoch: 0 | rem: 246s 
step 00076 (18.4%) | loss: 15.7830 | dt: 844ms | epoch: 0 | rem: 245s 
step 00077 (18.7%) | loss: 15.7936 | dt: 839ms | epoch: 0 | rem: 244s 
step 00078 (18.9%) | loss: 15.7500 | dt: 829ms | epoch: 0 | rem: 243s 
step 00079 (19.2%) | loss: 15.7653 | dt: 834ms | epoch: 0 | rem: 242s 
step 00080 (19.5%) | loss: 15.7530 | dt: 865ms | epoch: 0 | rem: 242s 
step 00081 (19.8%) | loss: 15.7008 | dt: 863ms | epoch: 0 | rem: 241s 
step 00082 (20.1%) | loss: 15.6411 | dt: 832ms | epoch: 0 | rem: 240s 
step 00083 (20.3%) | loss: 15.6244 | dt: 828ms | epoch: 0 | rem: 239s 
step 00084 (20.6%) | loss: 15.5657 | dt: 872ms | epoch: 0 | rem: 238s 
step 00085 (20.9%) | loss: 15.5141 | dt: 837ms | epoch: 0 | rem: 237s 
step 00086 (21.2%) | loss: 15.4766 | dt: 870ms | epoch: 0 | rem: 236s 
step 00087 (21.5%) | loss: 15.4700 | dt: 846ms | epoch: 0 | rem: 236s 
step 00088 (21.8%) | loss: 15.4571 | dt: 836ms | epoch: 0 | rem: 235s 
step 00089 (22.0%) | loss: 15.4048 | dt: 839ms | epoch: 0 | rem: 234s 
step 00090 (22.3%) | loss: 15.3907 | dt: 853ms | epoch: 0 | rem: 233s 
step 00091 (22.6%) | loss: 15.3354 | dt: 858ms | epoch: 0 | rem: 232s 
step 00092 (22.9%) | loss: 15.2970 | dt: 872ms | epoch: 0 | rem: 231s 
step 00093 (23.2%) | loss: 15.2350 | dt: 846ms | epoch: 0 | rem: 230s 
step 00094 (23.5%) | loss: 15.1576 | dt: 861ms | epoch: 0 | rem: 230s 
step 00095 (23.8%) | loss: 15.0993 | dt: 850ms | epoch: 0 | rem: 229s 
step 00096 (24.0%) | loss: 15.0608 | dt: 839ms | epoch: 0 | rem: 228s 
step 00097 (24.3%) | loss: 15.0285 | dt: 848ms | epoch: 0 | rem: 227s 
step 00098 (24.6%) | loss: 15.0008 | dt: 843ms | epoch: 0 | rem: 226s 
step 00099 (24.9%) | loss: 14.9245 | dt: 870ms | epoch: 0 | rem: 225s 
step 00100 (25.2%) | loss: 14.8502 | dt: 872ms | epoch: 0 | rem: 224s 
step 00101 (25.5%) | loss: 14.8348 | dt: 848ms | epoch: 0 | rem: 224s 
step 00102 (25.7%) | loss: 14.8074 | dt: 827ms | epoch: 0 | rem: 223s 
step 00103 (26.0%) | loss: 14.7628 | dt: 886ms | epoch: 0 | rem: 222s 
step 00104 (26.3%) | loss: 14.7282 | dt: 847ms | epoch: 0 | rem: 221s 
step 00105 (26.6%) | loss: 14.6978 | dt: 857ms | epoch: 0 | rem: 220s 
step 00106 (26.9%) | loss: 14.6584 | dt: 845ms | epoch: 0 | rem: 219s 
step 00107 (27.2%) | loss: 14.6259 | dt: 835ms | epoch: 0 | rem: 219s 
step 00108 (27.4%) | loss: 14.5786 | dt: 862ms | epoch: 0 | rem: 218s 
step 00109 (27.7%) | loss: 14.5591 | dt: 836ms | epoch: 0 | rem: 217s 
step 00110 (28.0%) | loss: 14.5828 | dt: 852ms | epoch: 0 | rem: 216s 
step 00111 (28.3%) | loss: 14.6052 | dt: 874ms | epoch: 0 | rem: 215s 
step 00112 (28.6%) | loss: 14.6073 | dt: 834ms | epoch: 0 | rem: 214s 
step 00113 (28.9%) | loss: 14.6097 | dt: 842ms | epoch: 0 | rem: 213s 
step 00114 (29.1%) | loss: 14.6261 | dt: 869ms | epoch: 0 | rem: 213s 
step 00115 (29.4%) | loss: 14.7100 | dt: 844ms | epoch: 0 | rem: 212s 
